Dim1	Dim2	Coupe	Value
45	62	2	2.000000
45	63	2	2.000000
45	64	2	2.000000
45	65	2	2.000000
45	66	2	2.000000
45	67	2	2.000000
45	68	2	2.000000
46	27	2	1.000000
46	28	2	1.000000
46	29	2	2.000000
46	30	2	1.000000
46	31	2	1.000000
46	32	2	2.000000
46	33	2	2.000000
46	34	2	2.000000
46	35	2	2.000000
46	36	2	2.000000
46	37	2	2.000000
46	38	2	2.000000
46	39	2	2.000000
46	40	2	2.000000
46	41	2	1.000000
46	42	2	1.000000
46	43	2	1.000000
46	62	2	1.000000
46	63	2	2.000000
46	64	2	2.000000
46	65	2	2.000000
46	66	2	2.000000
46	67	2	2.000000
46	68	2	2.000000
46	69	2	2.000000
46	70	2	2.000000
47	25	2	1.000000
47	27	2	1.000000
47	28	2	2.000000
47	29	2	2.000000
47	30	2	1.000000
47	31	2	1.000000
47	32	2	2.000000
47	33	2	2.000000
47	34	2	2.000000
47	35	2	2.000000
47	36	2	2.000000
47	37	2	2.000000
47	38	2	2.000000
47	39	2	2.000000
47	40	2	2.000000
47	41	2	2.000000
47	42	2	1.000000
47	43	2	1.000000
47	62	2	1.000000
47	63	2	2.000000
47	64	2	2.000000
47	65	2	1.000000
47	66	2	2.000000
47	67	2	2.000000
47	68	2	1.000000
47	69	2	2.000000
47	70	2	2.000000
48	25	2	1.000000
48	27	2	2.000000
48	28	2	2.000000
48	29	2	2.000000
48	30	2	1.000000
48	31	2	2.000000
48	32	2	2.000000
48	33	2	2.000000
48	34	2	2.000000
48	35	2	2.000000
48	36	2	2.000000
48	37	2	2.000000
48	38	2	2.000000
48	39	2	2.000000
48	40	2	2.000000
48	41	2	2.000000
48	42	2	2.000000
48	43	2	1.000000
48	44	2	1.000000
48	62	2	1.000000
48	63	2	2.000000
48	64	2	2.000000
48	65	2	1.000000
48	66	2	1.000000
48	67	2	1.000000
48	68	2	1.000000
48	69	2	2.000000
49	25	2	1.000000
49	27	2	2.000000
49	28	2	2.000000
49	29	2	2.000000
49	30	2	2.000000
49	31	2	2.000000
49	32	2	2.000000
49	33	2	2.000000
49	34	2	2.000000
49	35	2	2.000000
49	36	2	2.000000
49	37	2	2.000000
49	38	2	2.000000
49	39	2	2.000000
49	40	2	2.000000
49	41	2	2.000000
49	42	2	2.000000
49	43	2	2.000000
49	44	2	1.000000
49	62	2	1.000000
49	63	2	1.000000
49	64	2	1.000000
49	65	2	1.000000
49	66	2	1.000000
49	67	2	1.000000
49	68	2	1.000000
49	69	2	1.000000
50	24	2	2.000000
50	26	2	2.000000
50	27	2	2.000000
50	28	2	2.000000
50	29	2	2.000000
50	30	2	2.000000
50	31	2	2.000000
50	32	2	2.000000
50	33	2	2.000000
50	34	2	2.000000
50	35	2	2.000000
50	36	2	2.000000
50	37	2	2.000000
50	38	2	2.000000
50	39	2	2.000000
50	40	2	2.000000
50	41	2	2.000000
50	42	2	2.000000
50	43	2	2.000000
50	44	2	1.000000
50	45	2	1.000000
50	46	2	1.000000
50	62	2	1.000000
50	63	2	1.000000
50	64	2	1.000000
50	65	2	1.000000
50	66	2	1.000000
50	67	2	1.000000
50	69	2	2.000000
51	24	2	2.000000
51	25	2	1.000000
51	27	2	2.000000
51	28	2	2.000000
51	29	2	2.000000
51	30	2	2.000000
51	31	2	2.000000
51	32	2	2.000000
51	33	2	2.000000
51	34	2	2.000000
51	35	2	2.000000
51	36	2	2.000000
51	37	2	2.000000
51	38	2	2.000000
51	39	2	2.000000
51	40	2	2.000000
51	41	2	2.000000
51	42	2	2.000000
51	43	2	2.000000
51	44	2	2.000000
51	45	2	1.000000
51	46	2	1.000000
51	47	2	1.000000
51	50	2	1.000000
51	63	2	1.000000
51	64	2	1.000000
51	65	2	1.000000
51	66	2	1.000000
51	67	2	1.000000
